; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
77	2	1	comcap	43110277.34375
77	3	1	comcap	58737714.84375
77	4	1	comcap	58739851.5625
77	5	1	comcap	54895847.65625
78	1	1	comcap	44811816.40625
78	2	1	comcap	48683886.71875
78	3	1	comcap	76683781.25
78	4	1	comcap	79522843.75
78	5	1	comcap	75199789.0625
79	1	1	comcap	61602636.71875
79	2	1	comcap	46596417.96875
79	3	1	comcap	63869906.25
79	4	1	comcap	63802875
79	5	1	comcap	58991328.125
80	1	1	comcap	25380078.125
80	2	1	comcap	18852859.375
80	3	1	comcap	31207257.8125
80	4	1	comcap	34101156.25
80	5	1	comcap	32541078.125
81	1	1	comcap	27352080.078125
81	2	1	comcap	20892527.34375
81	3	1	comcap	28004355.46875
81	4	1	comcap	29409128.90625
81	5	1	comcap	27006314.453125
82	1	1	comcap	22198988.28125
82	2	1	comcap	15091366.2109375
82	3	1	comcap	20456091.796875
82	4	1	comcap	20980166.015625
82	5	1	comcap	19908558.59375
83	1	1	comcap	16193301.7578125
83	2	1	comcap	13530719.7265625
83	3	1	comcap	20404150.390625
83	4	1	comcap	21377089.84375
83	5	1	comcap	20101433.59375
84	1	1	comcap	16596365.234375
84	2	1	comcap	13169732.421875
84	3	1	comcap	18640265.625
84	4	1	comcap	19140458.984375
84	5	1	comcap	18224146.484375
85	1	1	comcap	14752178.7109375
85	2	1	comcap	14147737.3046875
85	3	1	comcap	21763380.859375
85	4	1	comcap	22577154.296875
85	5	1	comcap	21125476.5625
86	1	1	comcap	17775658.203125
86	2	1	comcap	13289926.7578125
86	3	1	comcap	18441869.140625
86	4	1	comcap	18789458.984375
86	5	1	comcap	17129062.5
87	1	1	comcap	14006415.0390625
87	2	1	comcap	11842805.6640625
87	3	1	comcap	17464976.5625
87	4	1	comcap	18563630.859375
87	5	1	comcap	17315521.484375
88	1	1	comcap	14011104.4921875
88	2	1	comcap	14184007.8125
88	3	1	comcap	22512792.96875
88	4	1	comcap	24439320.3125
88	5	1	comcap	22882439.453125
89	1	1	comcap	19170333.984375
89	2	1	comcap	16285338.8671875
89	3	1	comcap	23880044.921875
89	4	1	comcap	24512613.28125
89	5	1	comcap	22612033.203125
90	1	1	comcap	18501500
90	2	1	comcap	16063784.1796875
90	3	1	comcap	24183810.546875
90	4	1	comcap	25895900.390625
90	5	1	comcap	24313292.96875
91	1	1	comcap	19473974.609375
91	2	1	comcap	11709336.9140625
91	3	1	comcap	14256630.859375
91	4	1	comcap	14376570.3125
91	5	1	comcap	13028983.3984375
92	1	1	comcap	10863326.171875
92	2	1	comcap	15291000
92	3	1	comcap	25796359.375
92	4	1	comcap	28901208.984375
92	5	1	comcap	27397839.84375
93	1	1	comcap	21938722.65625
93	2	1	comcap	17278203.125
93	3	1	comcap	24004742.1875
93	4	1	comcap	24534914.0625
93	5	1	comcap	22347046.875
94	1	1	comcap	18229271.484375
94	2	1	comcap	14079191.40625
94	3	1	comcap	20137894.53125
94	4	1	comcap	20800744.140625
94	5	1	comcap	19500964.84375
95	1	1	comcap	15922366.2109375
95	2	1	comcap	16370465.8203125
95	3	1	comcap	25525974.609375
95	4	1	comcap	27654119.140625
95	5	1	comcap	26074705.078125
96	1	1	comcap	21241533.203125
96	2	1	comcap	15122334.9609375
96	3	1	comcap	20081583.984375
96	4	1	comcap	20342318.359375
96	5	1	comcap	18774957.03125
97	1	1	comcap	15222920.8984375
97	2	1	comcap	22208335.9375
97	3	1	comcap	36052796.875
97	4	1	comcap	39927585.9375
97	5	1	comcap	38783683.59375
98	1	1	comcap	31561253.90625
98	2	1	comcap	21454285.15625
98	3	1	comcap	27761710.9375
98	4	1	comcap	27232476.5625
98	5	1	comcap	25126912.109375
99	1	1	comcap	19892685.546875
99	2	1	comcap	16914517.578125
99	3	1	comcap	25133123.046875
99	4	1	comcap	26645302.734375
99	5	1	comcap	25023232.421875
100	1	1	comcap	20305007.8125
100	2	1	comcap	17572958.984375
100	3	1	comcap	25830845.703125
100	4	1	comcap	26511246.09375
100	5	1	comcap	24788185.546875
101	1	1	comcap	20169685.546875
101	2	1	comcap	21167185.546875
101	3	1	comcap	33320292.96875
101	4	1	comcap	35854562.5
101	5	1	comcap	33562187.5
102	1	1	comcap	27867435.546875
102	2	1	comcap	18801822.265625
102	3	1	comcap	24637919.921875
102	4	1	comcap	24630556.640625
102	5	1	comcap	22608242.1875
103	1	1	comcap	18217761.71875
103	2	1	comcap	17889802.734375
103	3	1	comcap	26752632.8125
103	4	1	comcap	29112640.625
103	5	1	comcap	27101533.203125
104	1	1	comcap	22619027.34375
104	2	1	comcap	15658439.453125
104	3	1	comcap	21693261.71875
104	4	1	comcap	22246660.15625
104	5	1	comcap	20107679.6875
105	1	1	comcap	24423228.515625
105	2	1	comcap	22488585.9375
105	3	1	comcap	34403238.28125
105	4	1	comcap	36959031.25
105	5	1	comcap	33240078.125
106	1	1	comcap	27738341.796875
106	2	1	comcap	29303519.53125
106	3	1	comcap	44765457.03125
106	4	1	comcap	47617714.84375
106	5	1	comcap	44054015.625
107	1	1	comcap	36019449.21875
107	2	1	comcap	22376326.171875
107	3	1	comcap	28334931.640625
107	4	1	comcap	28476992.1875
107	5	1	comcap	25555859.375
108	1	1	comcap	20573269.53125
108	2	1	comcap	20029236.328125
108	3	1	comcap	31292580.078125
108	4	1	comcap	33706214.84375
108	5	1	comcap	31800029.296875
109	1	1	comcap	26697798.828125
109	2	1	comcap	25059710.9375
109	3	1	comcap	37635308.59375
109	4	1	comcap	39618101.5625
109	5	1	comcap	36186414.0625
110	1	1	comcap	29887761.71875
110	2	1	comcap	24722974.609375
110	3	1	comcap	35868437.5
110	4	1	comcap	37096222.65625
110	5	1	comcap	34110554.6875
111	1	1	comcap	27974240.234375
111	2	1	comcap	22345519.53125
111	3	1	comcap	31622228.515625
111	4	1	comcap	34707031.25
111	5	1	comcap	31713863.28125
112	1	1	comcap	26296263.671875
112	2	1	comcap	23052658.203125
112	3	1	comcap	33725535.15625
112	4	1	comcap	34667609.375
112	5	1	comcap	32432511.71875
113	1	1	comcap	26495814.453125
113	2	1	comcap	32634724.609375
113	3	1	comcap	52322296.875
113	4	1	comcap	55955246.09375
113	5	1	comcap	53294945.3125
114	1	1	comcap	43837656.25
114	2	1	comcap	26960373.046875
114	3	1	comcap	34069812.5
114	4	1	comcap	33636464.84375
114	5	1	comcap	29767240.234375
115	1	1	comcap	24809648.4375
115	2	1	comcap	25514957.03125
115	3	1	comcap	40130250
115	4	1	comcap	43144484.375
115	5	1	comcap	40632734.375
116	1	1	comcap	34503832.03125
116	2	1	comcap	28738550.78125
116	3	1	comcap	42492097.65625
116	4	1	comcap	43859648.4375
116	5	1	comcap	39993613.28125
117	1	1	comcap	33582421.875
117	2	1	comcap	22345919.921875
117	3	1	comcap	30470367.1875
117	4	1	comcap	30242218.75
117	5	1	comcap	27852564.453125
118	1	1	comcap	22460351.5625
118	2	1	comcap	21305375
118	3	1	comcap	32048421.875
118	4	1	comcap	34067910.15625
118	5	1	comcap	32064792.96875
119	1	1	comcap	26786291.015625
119	2	1	comcap	22340648.4375
119	3	1	comcap	32253833.984375
119	4	1	comcap	34695804.6875
119	5	1	comcap	32180958.984375
120	1	1	comcap	26073478.515625
120	2	1	comcap	19857765.625
120	3	1	comcap	28074923.828125
120	4	1	comcap	28634992.1875
120	5	1	comcap	26062085.9375
