; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
77	1	1	comhad	24076386.71875
77	2	1	comhad	18277343.75
77	3	1	comhad	19636406.25
77	4	1	comhad	20167207.03125
77	5	1	comhad	19599181.640625
78	1	1	comhad	19598562.5
78	2	1	comhad	15040619.140625
78	3	1	comhad	15983204.1015625
78	4	1	comhad	16720771.484375
78	5	1	comhad	16273436.5234375
79	1	1	comhad	16067058.59375
79	2	1	comhad	12201045.8984375
79	3	1	comhad	13754310.546875
79	4	1	comhad	14154800.78125
79	5	1	comhad	13867390.625
80	1	1	comhad	6919356.93359375
80	2	1	comhad	3654905.02929688
80	3	1	comhad	4558931.15234375
80	4	1	comhad	5044560.546875
80	5	1	comhad	5170399.90234375
81	1	1	comhad	5352284.66796875
81	2	1	comhad	4346361.328125
81	3	1	comhad	5145752.44140625
81	4	1	comhad	5702159.66796875
81	5	1	comhad	5906591.30859375
82	1	1	comhad	6079096.6796875
82	2	1	comhad	4858351.07421875
82	3	1	comhad	9000866.2109375
82	4	1	comhad	10534197.265625
82	5	1	comhad	11115449.21875
83	1	1	comhad	11480489.2578125
83	2	1	comhad	9154798.828125
83	3	1	comhad	28394333.984375
83	4	1	comhad	35587789.0625
83	5	1	comhad	36536675.78125
84	1	1	comhad	37135207.03125
84	2	1	comhad	30581833.984375
84	3	1	comhad	35951878.90625
84	4	1	comhad	38121726.5625
84	5	1	comhad	39959582.03125
85	1	1	comhad	39913464.84375
85	2	1	comhad	32387986.328125
85	3	1	comhad	34041148.4375
85	4	1	comhad	35903808.59375
85	5	1	comhad	36755425.78125
86	1	1	comhad	37306621.09375
86	2	1	comhad	29480478.515625
86	3	1	comhad	30163509.765625
86	4	1	comhad	31553671.875
86	5	1	comhad	32873894.53125
87	1	1	comhad	33760109.375
87	2	1	comhad	26055253.90625
87	3	1	comhad	27343220.703125
87	4	1	comhad	28673974.609375
87	5	1	comhad	29343373.046875
88	1	1	comhad	30081287.109375
88	2	1	comhad	23634757.8125
88	3	1	comhad	26313050.78125
88	4	1	comhad	27906847.65625
88	5	1	comhad	29739234.375
89	1	1	comhad	30058376.953125
89	2	1	comhad	23821947.265625
89	3	1	comhad	35419078.125
89	4	1	comhad	39618562.5
89	5	1	comhad	41791578.125
90	1	1	comhad	42393535.15625
90	2	1	comhad	33425914.0625
90	3	1	comhad	35954445.3125
90	4	1	comhad	39333304.6875
90	5	1	comhad	40355339.84375
91	1	1	comhad	40781050.78125
91	2	1	comhad	32421078.125
91	3	1	comhad	34502414.0625
91	4	1	comhad	36676964.84375
91	5	1	comhad	37590039.0625
92	1	1	comhad	38935488.28125
92	2	1	comhad	30128005.859375
92	3	1	comhad	32007302.734375
92	4	1	comhad	33108695.3125
92	5	1	comhad	34309000
93	1	1	comhad	33841085.9375
93	2	1	comhad	27692417.96875
93	3	1	comhad	29686394.53125
93	4	1	comhad	31252296.875
93	5	1	comhad	32143574.21875
94	1	1	comhad	32058748.046875
94	2	1	comhad	25889517.578125
94	3	1	comhad	27244757.8125
94	4	1	comhad	29005445.3125
94	5	1	comhad	29011833.984375
95	1	1	comhad	30234052.734375
95	2	1	comhad	23825964.84375
95	3	1	comhad	25236935.546875
95	4	1	comhad	26190388.671875
95	5	1	comhad	26993798.828125
96	1	1	comhad	27376751.953125
96	2	1	comhad	21635230.46875
96	3	1	comhad	23350208.984375
96	4	1	comhad	23723046.875
96	5	1	comhad	24076322.265625
97	1	1	comhad	24441457.03125
97	2	1	comhad	19099380.859375
97	3	1	comhad	21179318.359375
97	4	1	comhad	21992173.828125
97	5	1	comhad	22579259.765625
98	1	1	comhad	23117156.25
98	2	1	comhad	18320996.09375
98	3	1	comhad	20220228.515625
98	4	1	comhad	20795546.875
98	5	1	comhad	21639472.65625
99	1	1	comhad	21872632.8125
99	2	1	comhad	16991095.703125
99	3	1	comhad	20149583.984375
99	4	1	comhad	22068408.203125
99	5	1	comhad	22844355.46875
100	1	1	comhad	23313908.203125
100	2	1	comhad	18323351.5625
100	3	1	comhad	35185062.5
100	4	1	comhad	41418687.5
100	5	1	comhad	42040761.71875
101	1	1	comhad	42425808.59375
101	2	1	comhad	34001675.78125
101	3	1	comhad	38916046.875
101	4	1	comhad	42089042.96875
101	5	1	comhad	42671640.625
102	1	1	comhad	43148878.90625
102	2	1	comhad	34226628.90625
102	3	1	comhad	36859167.96875
102	4	1	comhad	38541457.03125
102	5	1	comhad	38868125
103	1	1	comhad	39957906.25
103	2	1	comhad	31634466.796875
103	3	1	comhad	32961664.0625
103	4	1	comhad	34026355.46875
103	5	1	comhad	35255894.53125
104	1	1	comhad	35204457.03125
104	2	1	comhad	27885353.515625
104	3	1	comhad	28174724.609375
104	4	1	comhad	29478000
104	5	1	comhad	31492171.875
105	1	1	comhad	46459078.125
105	2	1	comhad	36293011.71875
105	3	1	comhad	35089855.46875
105	4	1	comhad	36387156.25
105	5	1	comhad	36895656.25
106	1	1	comhad	37809875
106	2	1	comhad	29009617.1875
106	3	1	comhad	29608615.234375
106	4	1	comhad	30734876.953125
106	5	1	comhad	31690335.9375
107	1	1	comhad	32169839.84375
107	2	1	comhad	24966630.859375
107	3	1	comhad	26171556.640625
107	4	1	comhad	27420740.234375
107	5	1	comhad	27682589.84375
108	1	1	comhad	28258654.296875
108	2	1	comhad	21933832.03125
108	3	1	comhad	23524460.9375
108	4	1	comhad	24891062.5
108	5	1	comhad	25964867.1875
109	1	1	comhad	25611152.34375
109	2	1	comhad	19995000
109	3	1	comhad	21075587.890625
109	4	1	comhad	22130949.21875
109	5	1	comhad	22573355.46875
110	1	1	comhad	22488240.234375
110	2	1	comhad	17607994.140625
110	3	1	comhad	19018859.375
